#This data comes from the mtcars default dataset in the programming language R.
#There are 32 measurements for each variable.
#The dependent variable is miles per gallon.
#The independemt variables are consist of all other variables in the mtcars dataset. They are indexed in the same
#order that they appear in the original dataset. 

param N := 32;

param NUMIND := 10;

param DEP :=
		  1 21 
		  2 21 
		  3 22.8 
		  4 21.4 
		  5 18.7 
		  6 18.1 
		  7 14.3 
		  8 24.4 
		  9 22.8 
		  10 19.2 
		  11 17.8 
		  12 16.4 
		  13 17.3 
		  14 15.2 
		  15 10.4 
		  16 10.4 
		  17 14.7 
		  18 32.4 
		  19 30.4
		  20 33.9 
		  21 21.5 
		  22 15.5 
		  23 15.2 
		  24 13.3 
		  25 19.2 
		  26 27.3 
		  27 26 
		  28 30.4 
		  29 15.8 
		  30 19.7 
		  31 15 
		  32 21.4;
		   
param IND: 	1		2		3		4		5		6		7		8		9		10:=
		1 	6 		160 	110 	3.9 	2.62 	16.46 	0 		1 		4 		4
		2 	6 		160 	110 	3.9 	2.875 	17.02 	0 		1 		4 		4
		3 	4 		108 	93 		3.85 	2.32 	18.61 	1 		1 		4 		1
		4 	6 		258 	110 	3.08 	3.215 	19.44 	1 		0 		3 		1
		5 	8 		360 	175 	3.15 	3.44 	17.02 	0 		0 		3 		2
		6 	6 		225 	105 	2.76 	3.46 	20.22 	1 		0 		3 		1
		7 	8 		360 	245 	3.21 	3.57 	15.84 	0 		0 		3 		4
		8 	4 		146.7 	62 		3.69 	3.19 	20 		1 		0 		4 		2
		9 	4 		140.8 	95 		3.92 	3.15 	22.9 	1 		0 		4 		2
		10 	6 		167.6 	123 	3.92 	3.44 	18.3 	1 		0 		4 		4
		11 	6 		167.6 	123 	3.92 	3.44 	18.9 	1		0 		4		4
		12 	8 		275.8 	180 	3.07 	4.07 	17.4 	0 		0 		3 		3
		13 	8 		275.8	180 	3.07 	3.73 	17.6 	0 		0 		3 		3
		14 	8 		275.8	180 	3.07 	3.78 	18 		0 		0 		3 		3
		15 	8 		472 	205 	2.93 	5.25 	17.98 	0 		0 		3 		4
		16 	8 		460 	215 	3 		5.424 	17.82 	0 		0 		3 		4
		17 	8 		440 	230 	3.23 	5.345	17.42 	0 		0 		3 		4
		18 	4 		78.7 	66 		4.08 	2.2 	19.47 	1 		1 		4 		1
		19 	4 		75.7 	52 		4.93 	1.615 	18.52 	1 		1 		4 		2
		20 	4 		71.1 	65 		4.22 	1.835 	19.9 	1 		1 		4 		1
		21 	4 		120.1 	97 		3.7 	2.465 	20.01 	1 		0 		3 		1
		22 	8 		318 	150 	2.76 	3.52 	16.87 	0 		0 		3 		2
		23 	8 		304 	150 	3.15 	3.435 	17.3 	0	 	0 		3 		2
		24 	8 		350 	245 	3.73 	3.84 	15.41 	0 		0 		3 		4
		25 	8 		400 	175 	3.08 	3.845 	17.05 	0 		0 		3 		2
		26 	4 		79 		66 		4.08 	1.935 	18.9 	1 		1 		4 		1
		27 	4 		120.3 	91 		4.43 	2.14 	16.7 	0 		1 		5 		2
		28 	4 		95.1 	113 	3.77 	1.513 	16.9 	1 		1 		5 		2
		29 	8 		351 	264 	4.22 	3.17 	14.5 	0 		1 		5 		4
		30 	6 		145 	175 	3.62 	2.77 	15.5 	0 		1 		5 		6
		31 	8 		301 	335 	3.54 	3.57 	14.6 	0 		1 		5 		8
		32 	4 		121 	109 	4.11 	2.78 	18.6 	1 		1 		4 		2;
