#This data comes from the iris default dataset in R(the programming language). 
#There are 150 measurements per variable. The dependent variable is petal length. 
#The independent variables are sepal length and sepal width in that order (column 1, column 2).

param N := 150;

param NUMIND := 2;

param DEP :=
	1 1.4
	2 1.4
	3 1.3
	4 1.5
	5 1.4
	6 1.7
	7 1.4
	8 1.5
	9 1.4
	10 1.5
	11 1.5
	12 1.6
	13 1.4
	14 1.1
	15 1.2
	16 1.5
	17 1.3
	18 1.4
	19 1.7
	20 1.5
	21 1.7
	22 1.5
	23 1
	24 1.7
	25 1.9
	26 1.6
	27 1.6
	28 1.5
	29 1.4
	30 1.6
	31 1.6
	32 1.5
	33 1.5
	34 1.4
	35 1.5
	36 1.2
	37 1.3
	38 1.4
	39 1.3
	40 1.5
	41 1.3
	42 1.3
	43 1.3
	44 1.6
	45 1.9
	46 1.4
	47 1.6
	48 1.4
	49 1.5
	50 1.4
	51 4.7
	52 4.5
	53 4.9
	54 4
	55 4.6
	56 4.5
	57 4.7
	58 3.3
	59 4.6
	60 3.9
	61 3.5
	62 4.2
	63 4
	64 4.7
	65 3.6
	66 4.4
	67 4.5
	68 4.1
	69 4.5
	70 3.9
	71 4.8
	72 4
	73 4.9
	74 4.7
	75 4.3
	76 4.4
	77 4.8
	78 5
	79 4.5
	80 3.5
	81 3.8
	82 3.7
	83 3.9
	84 5.1
	85 4.5
	86 4.5
	87 4.7
	88 4.4
	89 4.1
	90 4
	91 4.4
	92 4.6
	93 4
	94 3.3
	95 4.2
	96 4.2
	97 4.2
	98 4.3
	99 3
	100 4.1
	101 6
	102 5.1
	103 5.9
	104 5.6
	105 5.8
	106 6.6
	107 4.5
	108 6.3
	109 5.8
	110 6.1
	111 5.1
	112 5.3
	113 5.5
	114 5
	115 5.1
	116 5.3
	117 5.5
	118 6.7
	119 6.9
	120 5
	121 5.7
	122 4.9
	123 6.7
	124 4.9
	125 5.7
	126 6
	127 4.8
	128 4.9
	129 5.6
	130 5.8
	131 6.1
	132 6.4
	133 5.6
	134 5.1
	135 5.6
	136 6.1
	137 5.6
	138 5.5
	139 4.8
	140 5.4
	141 5.6
	142 5.1
	143 5.1
	144 5.9
	145 5.7
	146 5.2
	147 5
	148 5.2
	149 5.4
	150 5.1;
		   
param IND: 	1	2:=
		1 5.1 3.5
		2 4.9 3
		3 4.7 3.2
		4 4.6 3.1
		5 5 3.6
		6 5.4 3.9
		7 4.6 3.4
		8 5 3.4
		9 4.4 2.9
		10 4.9 3.1
		11 5.4 3.7
		12 4.8 3.4
		13 4.8 3
		14 4.3 3
		15 5.8 4
		16 5.7 4.4
		17 5.4 3.9
		18 5.1 3.5
		19 5.7 3.8
		20 5.1 3.8
		21 5.4 3.4
		22 5.1 3.7
		23 4.6 3.6
		24 5.1 3.3
		25 4.8 3.4
		26 5 3
		27 5 3.4
		28 5.2 3.5
		29 5.2 3.4
		30 4.7 3.2
		31 4.8 3.1
		32 5.4 3.4
		33 5.2 4.1
		34 5.5 4.2
		35 4.9 3.1
		36 5 3.2
		37 5.5 3.5
		38 4.9 3.6
		39 4.4 3
		40 5.1 3.4
		41 5 3.5
		42 4.5 2.3
		43 4.4 3.2
		44 5 3.5
		45 5.1 3.8
		46 4.8 3
		47 5.1 3.8
		48 4.6 3.2
		49 5.3 3.7
		50 5 3.3
		51 7 3.2
		52 6.4 3.2
		53 6.9 3.1
		54 5.5 2.3
		55 6.5 2.8
		56 5.7 2.8
		57 6.3 3.3
		58 4.9 2.4
		59 6.6 2.9
		60 5.2 2.7
		61 5 2
		62 5.9 3
		63 6 2.2
		64 6.1 2.9
		65 5.6 2.9
		66 6.7 3.1
		67 5.6 3
		68 5.8 2.7
		69 6.2 2.2
		70 5.6 2.5
		71 5.9 3.2
		72 6.1 2.8
		73 6.3 2.5
		74 6.1 2.8
		75 6.4 2.9
		76 6.6 3
		77 6.8 2.8
		78 6.7 3
		79 6 2.9
		80 5.7 2.6
		81 5.5 2.4
		82 5.5 2.4
		83 5.8 2.7
		84 6 2.7
		85 5.4 3
		86 6 3.4
		87 6.7 3.1
		88 6.3 2.3
		89 5.6 3
		90 5.5 2.5
		91 5.5 2.6
		92 6.1 3
		93 5.8 2.6
		94 5 2.3
		95 5.6 2.7
		96 5.7 3
		97 5.7 2.9
		98 6.2 2.9
		99 5.1 2.5
		100 5.7 2.8
		101 6.3 3.3
		102 5.8 2.7
		103 7.1 3
		104 6.3 2.9
		105 6.5 3
		106 7.6 3
		107 4.9 2.5
		108 7.3 2.9
		109 6.7 2.5
		110 7.2 3.6
		111 6.5 3.2
		112 6.4 2.7
		113 6.8 3
		114 5.7 2.5
		115 5.8 2.8
		116 6.4 3.2
		117 6.5 3
		118 7.7 3.8
		119 7.7 2.6
		120 6 2.2
		121 6.9 3.2
		122 5.6 2.8
		123 7.7 2.8
		124 6.3 2.7
		125 6.7 3.3
		126 7.2 3.2
		127 6.2 2.8
		128 6.1 3
		129 6.4 2.8
		130 7.2 3
		131 7.4 2.8
		132 7.9 3.8
		133 6.4 2.8
		134 6.3 2.8
		135 6.1 2.6
		136 7.7 3
		137 6.3 3.4
		138 6.4 3.1
		139 6 3
		140 6.9 3.1
		141 6.7 3.1
		142 6.9 3.1
		143 5.8 2.7
		144 6.8 3.2
		145 6.7 3.3
		146 6.7 3
		147 6.3 2.5
		148 6.5 3
		149 6.2 3.4
		150 5.9 3;
